,date,fake_merged,fake_merged_initiation,fake_merged_rt,fake_grinberg_initiation,fake_grinberg_rt,fake_grinberg_rb_initiation,fake_grinberg_rb_rt,fake_newsguard_initiation,fake_newsguard_rt,not_fake,not_fake_initiation,not_fake_rt,not_fake_conservative,not_fake_conservative_initiation,not_fake_conservative_rt,not_fake_liberal,not_fake_liberal_initiation,not_fake_liberal_rt,not_fake_shopping,not_fake_shopping_initiation,not_fake_shopping_rt,not_fake_sports,not_fake_sports_initiation,not_fake_sports_rt,n,nusers,subsets
52,2019-12-03,48.0,27.0,21.0,8.0,4.0,0.0,2.0,25.0,21.0,1024.0,480.0,544.0,65.0,31.0,34.0,70.0,24.0,46.0,17.0,15.0,2.0,2.0,0.0,2.0,1072.0,407,F_la
53,2019-12-03,171.0,89.0,82.0,11.0,14.0,3.0,8.0,87.0,78.0,11792.0,5091.0,6701.0,324.0,134.0,190.0,1112.0,369.0,743.0,91.0,59.0,32.0,21.0,13.0,8.0,11963.0,3864,F_ma
54,2019-12-03,32.0,6.0,26.0,1.0,11.0,0.0,3.0,6.0,25.0,14111.0,7127.0,6984.0,547.0,181.0,366.0,488.0,137.0,351.0,752.0,360.0,392.0,56.0,41.0,15.0,14143.0,1805,nfns_ha
55,2019-12-03,28.0,21.0,7.0,5.0,2.0,3.0,0.0,20.0,6.0,8519.0,5202.0,3317.0,276.0,130.0,146.0,335.0,124.0,211.0,144.0,59.0,85.0,14.0,1.0,13.0,8547.0,4392,nfns_la
56,2019-12-03,223.0,138.0,85.0,40.0,16.0,25.0,7.0,113.0,82.0,103923.0,65485.0,38438.0,3977.0,2171.0,1806.0,4139.0,1549.0,2590.0,1804.0,1209.0,595.0,195.0,78.0,117.0,104146.0,52598,nfns_ma
57,2019-12-03,350.0,61.0,289.0,39.0,83.0,32.0,54.0,58.0,277.0,1046.0,357.0,689.0,142.0,48.0,94.0,31.0,8.0,23.0,5.0,0.0,5.0,1.0,1.0,0.0,1396.0,119,suspended_ha
58,2019-12-03,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,20.0,14.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7,suspended_la
59,2019-12-03,112.0,35.0,77.0,10.0,23.0,3.0,17.0,28.0,74.0,521.0,287.0,234.0,58.0,23.0,35.0,5.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,633.0,141,suspended_ma
60,2019-12-04,49.0,19.0,30.0,5.0,5.0,2.0,1.0,18.0,30.0,1487.0,675.0,812.0,91.0,32.0,59.0,131.0,45.0,86.0,4.0,4.0,0.0,5.0,3.0,2.0,1536.0,153,A_ha
61,2019-12-04,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,71.0,47.0,24.0,5.0,1.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,32,A_la
62,2019-12-04,83.0,37.0,46.0,5.0,11.0,3.0,5.0,36.0,43.0,2926.0,1594.0,1332.0,186.0,68.0,118.0,142.0,55.0,87.0,11.0,8.0,3.0,11.0,5.0,6.0,3009.0,1122,A_ma
63,2019-12-04,1824.0,315.0,1509.0,112.0,579.0,56.0,277.0,303.0,1412.0,14777.0,4513.0,10264.0,1006.0,237.0,769.0,1369.0,280.0,1089.0,124.0,35.0,89.0,3.0,2.0,1.0,16601.0,1335,D_ha
64,2019-12-04,45.0,3.0,42.0,1.0,20.0,1.0,10.0,3.0,41.0,304.0,202.0,102.0,37.0,20.0,17.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,83,D_la
65,2019-12-04,1109.0,325.0,784.0,82.0,261.0,43.0,116.0,311.0,752.0,8293.0,4152.0,4141.0,794.0,329.0,465.0,502.0,164.0,338.0,71.0,44.0,27.0,4.0,1.0,3.0,9402.0,2775,D_ma
